seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,GBN-C,4125.0,2.1923202614379087,1.7908919461519972,4091.0,60.0,34.0,0.5666666666666667,1.8199511592958262,0.3730567693710327
42,2023-01-01 01:59:00,GBN-C,4060.0,2.1642156862745097,1.7937784287694638,4020.0,60.0,40.0,0.6666666666666666,1.6742328259700188,0.39178067445755005
42,2023-01-01 02:59:00,GBN-C,3975.0,2.1019607843137256,1.7937972498656387,3938.0,60.0,37.0,0.6166666666666667,1.2731195282978474,0.39087432622909546
42,2023-01-01 03:59:00,GBN-C,3871.0,2.002450980392157,1.7909067351125765,3826.0,57.0,45.0,0.75,0.7405919620773836,0.3857131004333496
42,2023-01-01 04:59:00,GBN-C,3745.0,1.944281045751634,1.796328856006545,3695.0,59.0,50.0,0.8333333333333334,0.7647806218765071,0.38496142625808716
42,2023-01-01 05:59:00,GBN-C,3802.0,1.9931372549019608,1.809186424089238,3769.0,53.0,33.0,0.55,1.6972744259659633,0.3858615756034851
42,2023-01-01 06:59:00,GBN-C,4193.0,2.30359477124183,1.797689190050646,4157.0,59.0,36.0,0.6,1.5178720798127534,0.3996037244796753
42,2023-01-01 07:59:00,GBN-C,4561.0,2.5746732026143793,1.7473544123111018,4511.0,60.0,50.0,0.8333333333333334,1.2970050972229148,0.4259571433067322
42,2023-01-01 08:59:00,GBN-C,4560.0,2.6040849673202615,1.753693482163249,4532.0,58.0,28.0,0.4666666666666667,1.8633456670491444,0.43508219718933105
42,2023-01-01 09:59:00,GBN-C,4636.0,2.6227124183006536,1.7303444712519502,4599.0,60.0,37.0,0.6166666666666667,1.4034679270372454,0.43348753452301025
42,2023-01-01 10:59:00,GBN-C,4705.0,2.6676470588235293,1.7077291670848351,4673.0,60.0,32.0,0.5333333333333333,1.1984944258897865,0.43350857496261597
42,2023-01-01 11:59:00,GBN-C,4649.0,2.6212418300653595,1.7263830565254308,4622.0,60.0,27.0,0.45,1.7317300277147387,0.4333328604698181
42,2023-01-01 12:59:00,GBN-C,4631.0,2.6083333333333334,1.7341332524506015,4608.0,60.0,23.0,0.38333333333333336,1.9049642749639397,0.4302682876586914
42,2023-01-01 13:59:00,GBN-C,4673.0,2.616830065359477,1.722328683876926,4649.0,59.0,24.0,0.4,1.7742451895188784,0.42625612020492554
42,2023-01-01 14:59:00,GBN-C,4714.0,2.640359477124183,1.708084927379845,4667.0,60.0,47.0,0.7833333333333333,0.5436502143433364,0.4283367991447449
42,2023-01-01 15:59:00,GBN-C,4670.0,2.6269607843137255,1.7177158164006963,4624.0,60.0,46.0,0.7666666666666667,0.9910712498212337,0.4326719045639038
42,2023-01-01 16:59:00,GBN-C,4703.0,2.647222222222222,1.7166691784570325,4667.0,59.0,36.0,0.6,1.6618814768481731,0.43500882387161255
42,2023-01-01 17:59:00,GBN-C,4661.0,2.625,1.7270613808061066,4610.0,60.0,51.0,0.85,0.4651761912317622,0.43182438611984253
42,2023-01-01 18:59:00,GBN-C,4548.0,2.5709150326797388,1.7542303153567098,4516.0,60.0,32.0,0.5333333333333333,1.9156519052850447,0.42586350440979004
42,2023-01-01 19:59:00,GBN-C,4610.0,2.5980392156862746,1.7375691301707281,4579.0,59.0,31.0,0.5166666666666667,1.7109411841755782,0.43124109506607056
42,2023-01-01 20:59:00,GBN-C,4600.0,2.5879084967320263,1.7351002131857072,4573.0,56.0,27.0,0.45,0.9960060548131671,0.42755216360092163
42,2023-01-01 21:59:00,GBN-C,4619.0,2.5377450980392156,1.720848745710449,4587.0,52.0,32.0,0.5333333333333333,0.805858724606037,0.41952139139175415
42,2023-01-01 22:59:00,GBN-C,4446.0,2.434640522875817,1.7552840956372595,4402.0,58.0,44.0,0.7333333333333333,0.5634529185644205,0.4113936424255371
42,2023-01-01 23:59:00,GBN-C,4357.0,2.3171568627450982,1.7561004095998305,4311.0,59.0,46.0,0.7666666666666667,0.7341155195833123,0.40232759714126587
42,2023-01-01 50:00:00,GBN-C,4421.416666666667,2.4418096405228757,1.7509670653506069,4384.416666666667,58.666666666666664,37.0,0.6166666666666667,1.2937033604985422,0.4156452342867851
42,2023-01-01 100:00:00,GBN-C,6120.0,58.60359477124183,38.62076873817109,6120.0,766.0,0.0,0.0,35.45517441452574,426.0527627468109
