seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,GBN-F,4210.0,2.221732026143791,1.7751051538641252,4091.0,192.0,119.0,0.49583333333333335,1.2394410807732383,2.512510359287262
42,2023-01-01 01:59:00,GBN-F,4141.0,2.1936274509803924,1.7816031312883287,4020.0,172.0,121.0,0.5041666666666667,1.344557665697993,2.4473719596862793
42,2023-01-01 02:59:00,GBN-F,4071.0,2.131372549019608,1.7814575287013454,3938.0,193.0,133.0,0.5541666666666667,1.289562258290982,2.509420692920685
42,2023-01-01 03:59:00,GBN-F,3984.0,2.031862745098039,1.778263214373076,3826.0,212.0,158.0,0.6583333333333333,1.1893154930945076,2.5068899989128113
42,2023-01-01 04:59:00,GBN-F,3856.0,1.9736928104575164,1.785598000491733,3695.0,228.0,161.0,0.6708333333333333,1.1966130899510363,2.56022047996521
42,2023-01-01 05:59:00,GBN-F,3926.0,2.022549019607843,1.7927271478621742,3769.0,208.0,157.0,0.6541666666666667,1.1843718530894478,2.552868664264679
42,2023-01-01 06:59:00,GBN-F,4299.0,2.3330065359477126,1.7804004047585675,4157.0,212.0,142.0,0.5916666666666667,1.2967151861989215,2.582060158252716
42,2023-01-01 07:59:00,GBN-F,4595.0,2.6040849673202615,1.7443511948056132,4511.0,171.0,84.0,0.35,1.601592005758204,2.6054986715316772
42,2023-01-01 08:59:00,GBN-F,4662.0,2.6334967320261438,1.733792038189317,4532.0,196.0,130.0,0.5416666666666666,1.6171135478290513,2.606864869594574
42,2023-01-01 09:59:00,GBN-F,4750.0,2.652124183006536,1.7068859188985468,4599.0,200.0,151.0,0.6291666666666667,1.3567516353408238,2.6041399240493774
42,2023-01-01 10:59:00,GBN-F,4807.0,2.697058823529412,1.6884046623156828,4673.0,192.0,134.0,0.5583333333333333,1.4851332127867258,2.607518792152405
42,2023-01-01 11:59:00,GBN-F,4763.0,2.6506535947712417,1.6989566860811633,4622.0,202.0,141.0,0.5875,1.3117971204149326,2.5996190905570984
42,2023-01-01 12:59:00,GBN-F,4749.0,2.6377450980392156,1.7065751776542908,4608.0,194.0,141.0,0.5875,1.470798407017941,2.6070982217788696
42,2023-01-01 13:59:00,GBN-F,4785.0,2.6462418300653594,1.695298842015897,4649.0,191.0,136.0,0.5666666666666667,1.3728463525863135,2.614687979221344
42,2023-01-01 14:59:00,GBN-F,4783.0,2.669771241830065,1.697922975676409,4667.0,196.0,116.0,0.48333333333333334,1.547819939118144,2.6079177260398865
42,2023-01-01 15:59:00,GBN-F,4735.0,2.6563725490196077,1.7028595457198044,4624.0,186.0,111.0,0.4625,1.422975180784583,2.616829812526703
42,2023-01-01 16:59:00,GBN-F,4786.0,2.6766339869281044,1.7003968519935944,4667.0,201.0,119.0,0.49583333333333335,1.5771693572994676,2.612887144088745
42,2023-01-01 17:59:00,GBN-F,4731.0,2.6544117647058822,1.7101236855830957,4610.0,178.0,121.0,0.5041666666666667,1.2806031592410465,2.617919445037842
42,2023-01-01 18:59:00,GBN-F,4659.0,2.600326797385621,1.734143821937573,4516.0,201.0,143.0,0.5958333333333333,1.6328264224007272,2.608060598373413
42,2023-01-01 19:59:00,GBN-F,4677.0,2.627450980392157,1.7263144199001663,4579.0,188.0,98.0,0.4083333333333333,1.603059475850641,2.6146240830421448
42,2023-01-01 20:59:00,GBN-F,4661.0,2.6173202614379085,1.7391007016196007,4573.0,195.0,88.0,0.36666666666666664,1.8669484149161495,2.6095073223114014
42,2023-01-01 21:59:00,GBN-F,4660.0,2.5671568627450982,1.7201420431454764,4587.0,181.0,73.0,0.30416666666666664,1.5061304474168231,2.6040151119232178
42,2023-01-01 22:59:00,GBN-F,4509.0,2.4640522875816995,1.7522204169061812,4402.0,204.0,107.0,0.44583333333333336,1.6367558238987614,2.5911465883255005
42,2023-01-01 23:59:00,GBN-F,4441.0,2.3465686274509805,1.7452984435491194,4311.0,208.0,130.0,0.5416666666666666,1.3905372163304368,2.5785998702049255
42,2023-01-01 50:00:00,GBN-F,4510.0,2.4712214052287584,1.7365809169721198,4384.416666666667,195.875,125.58333333333333,0.5232638888888889,1.4342264310869541,2.5824282318353653
42,2023-01-01 100:00:00,GBN-F,6120.0,59.309967320261435,38.10771410762834,6120.0,1346.0,0.0,0.0,35.245721634541766,627.568473815918
