seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,GBRSP-F,1426.0,0.7154189390183441,0.469522521941258,1416.0,27.0,10.0,0.08333333333333333,0.48290388186686284,5.226738929748535
42,2023-01-01 01:59:00,GBRSP-F,1423.0,0.7060546875,0.47958565789572705,1410.0,36.0,13.0,0.10833333333333334,0.480322679605294,4.936929225921631
42,2023-01-01 02:59:00,GBRSP-F,1413.0,0.6989720998531571,0.47444113575033353,1386.0,42.0,27.0,0.225,0.4791574237499549,4.814603805541992
42,2023-01-01 03:59:00,GBRSP-F,1383.0,0.6945544554455445,0.48161244176651774,1357.0,46.0,26.0,0.21666666666666667,0.4957284456952773,4.451066017150879
42,2023-01-01 04:59:00,GBRSP-F,1339.0,0.6737623762376238,0.4915168510052085,1316.0,45.0,23.0,0.19166666666666668,0.49987652796453313,5.011622905731201
42,2023-01-01 05:59:00,GBRSP-F,1357.0,0.6806930693069307,0.48494514832366203,1333.0,42.0,24.0,0.2,0.4948716593053935,4.924859046936035
42,2023-01-01 06:59:00,GBRSP-F,1448.0,0.7285359801488833,0.4665001847831353,1432.0,36.0,16.0,0.13333333333333333,0.4969039949999533,4.480021953582764
42,2023-01-01 07:59:00,GBRSP-F,1556.0,0.7886904761904762,0.4476471464078319,1538.0,52.0,18.0,0.15,0.47574295680203776,5.153083801269531
42,2023-01-01 08:59:00,GBRSP-F,1536.0,0.7706376668314384,0.4466472438732923,1527.0,32.0,9.0,0.075,0.4496092053105675,4.938862085342407
42,2023-01-01 09:59:00,GBRSP-F,1548.0,0.7725258493353028,0.4431806964278984,1533.0,36.0,15.0,0.125,0.4930066485916347,4.565493822097778
42,2023-01-01 10:59:00,GBRSP-F,1586.0,0.7963330029732408,0.4277843348889873,1571.0,36.0,15.0,0.125,0.4930066485916347,5.09039306640625
42,2023-01-01 11:59:00,GBRSP-F,1578.0,0.790386521308226,0.42722831479204343,1569.0,26.0,9.0,0.075,0.47574295680203776,4.55188250541687
42,2023-01-01 12:59:00,GBRSP-F,1546.0,0.7725470763131813,0.43428347286152746,1536.0,23.0,10.0,0.08333333333333333,0.49572844569527735,5.019897699356079
42,2023-01-01 13:59:00,GBRSP-F,1593.0,0.7958374628344896,0.41876513607412946,1583.0,23.0,10.0,0.08333333333333333,0.4957284456952773,4.9400858879089355
42,2023-01-01 14:59:00,GBRSP-F,1572.0,0.7864222001982161,0.4275845266098274,1562.0,25.0,10.0,0.08333333333333333,0.4898979485566356,4.938767194747925
42,2023-01-01 15:59:00,GBRSP-F,1579.0,0.7885091629519564,0.42383973988027107,1571.0,21.0,8.0,0.06666666666666667,0.4856209060564557,4.9412853717803955
42,2023-01-01 16:59:00,GBRSP-F,1590.0,0.7924901185770751,0.4222363350419173,1582.0,22.0,8.0,0.06666666666666667,0.4810456929208346,5.046614170074463
42,2023-01-01 17:59:00,GBRSP-F,1555.0,0.7776126795443289,0.4333474831663603,1548.0,22.0,7.0,0.058333333333333334,0.46577048936179993,4.96717381477356
42,2023-01-01 18:59:00,GBRSP-F,1544.0,0.7839444995044599,0.4550127160269874,1535.0,47.0,9.0,0.075,0.3934732342320624,4.557486534118652
42,2023-01-01 19:59:00,GBRSP-F,1584.0,0.7935802469135802,0.431887355689973,1568.0,39.0,16.0,0.13333333333333333,0.4918801562372019,4.568209648132324
42,2023-01-01 20:59:00,GBRSP-F,1576.0,0.7862783810463968,0.4299145550871243,1560.0,33.0,16.0,0.13333333333333333,0.4997703788627467,4.921963691711426
42,2023-01-01 21:59:00,GBRSP-F,1582.0,0.7814180929095355,0.43180062383413864,1554.0,44.0,28.0,0.23333333333333334,0.48104569292083466,4.524327754974365
42,2023-01-01 22:59:00,GBRSP-F,1515.0,0.7551826258637709,0.44686612080710236,1498.0,32.0,17.0,0.14166666666666666,0.4990224819584785,5.0045506954193115
42,2023-01-01 23:59:00,GBRSP-F,1514.0,0.755940594059406,0.44425859523618816,1490.0,37.0,24.0,0.2,0.47739247926096473,5.016359090805054
42,2023-01-01 50:00:00,GBRSP-F,1514.2916666666667,0.7577636777027319,0.44751701409047673,1498.9583333333333,34.333333333333336,15.333333333333334,0.12777777777777777,0.4822187242101563,4.8580116132895155
42,2023-01-01 100:00:00,GBRSP-F,2051.0,17.478939895882633,9.168231349568364,2014.0,304.0,37.0,0.012847222222222222,10.396297077469548,235.42402482032776
