seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,GBN-F,1468.0,2.4622641509433962,1.777414309144435,1416.0,75.0,52.0,0.43333333333333335,1.8138234631726307,1.1935645937919617
42,2023-01-01 01:59:00,GBN-F,1462.0,2.4791459781529297,1.7754566570753396,1410.0,84.0,52.0,0.43333333333333335,1.8581727913326518,1.1881287693977356
42,2023-01-01 02:59:00,GBN-F,1433.0,2.413604766633565,1.7996009749425073,1386.0,65.0,47.0,0.39166666666666666,2.0378663862687425,1.1872899532318115
42,2023-01-01 03:59:00,GBN-F,1416.0,2.3445878848063555,1.808736385652347,1357.0,76.0,59.0,0.49166666666666664,2.003934841167604,1.1877450346946716
42,2023-01-01 04:59:00,GBN-F,1366.0,2.2805362462760677,1.8242677546191535,1316.0,74.0,50.0,0.4166666666666667,2.0483562509725854,1.1860414743423462
42,2023-01-01 05:59:00,GBN-F,1397.0,2.3192651439920557,1.8181628756822068,1333.0,80.0,64.0,0.5333333333333333,1.7842628029525247,1.187229037284851
42,2023-01-01 06:59:00,GBN-F,1477.0,2.5114200595829197,1.7922426546599428,1432.0,76.0,45.0,0.375,2.0046258829886243,1.198451817035675
42,2023-01-01 07:59:00,GBN-F,1576.0,2.7611717974180734,1.713623725724375,1538.0,69.0,38.0,0.31666666666666665,2.0423987281104714,1.2085517048835754
42,2023-01-01 08:59:00,GBN-F,1560.0,2.7671300893743793,1.728001757936108,1527.0,61.0,33.0,0.275,1.9544669033034492,1.2141669392585754
42,2023-01-01 09:59:00,GBN-F,1569.0,2.779046673286991,1.7177552512173444,1533.0,71.0,36.0,0.3,1.9135242575699605,1.2123774290084839
42,2023-01-01 10:59:00,GBN-F,1595.0,2.8252234359483617,1.6906305636676693,1571.0,67.0,24.0,0.2,1.8389125768670376,1.2155746221542358
42,2023-01-01 11:59:00,GBN-F,1607.0,2.804369414101291,1.6714973677589147,1569.0,69.0,38.0,0.31666666666666665,1.6496293652327183,1.2090349197387695
42,2023-01-01 12:59:00,GBN-F,1565.0,2.766633565044687,1.7122025072417304,1536.0,64.0,29.0,0.24166666666666667,1.5811388300841898,1.2077866196632385
42,2023-01-01 13:59:00,GBN-F,1617.0,2.798907646474677,1.6611630144232408,1583.0,56.0,34.0,0.2833333333333333,1.3683745757620012,1.2072205543518066
42,2023-01-01 14:59:00,GBN-F,1596.0,2.8053624627606752,1.6802051710382298,1562.0,72.0,34.0,0.2833333333333333,1.607035073791192,1.209177017211914
42,2023-01-01 15:59:00,GBN-F,1611.0,2.8098311817279047,1.6627475949014152,1571.0,82.0,40.0,0.3333333333333333,1.6040178582885252,1.2044044137001038
42,2023-01-01 16:59:00,GBN-F,1616.0,2.8386295928500496,1.6502165934209123,1582.0,70.0,34.0,0.2833333333333333,1.3582702084576819,1.2139548659324646
42,2023-01-01 17:59:00,GBN-F,1604.0,2.7899702085402183,1.6722748508747534,1548.0,82.0,56.0,0.4666666666666667,1.288996123095006,1.210560381412506
42,2023-01-01 18:59:00,GBN-F,1579.0,2.754220456802383,1.6910505607654474,1535.0,86.0,44.0,0.36666666666666664,1.434338971638072,1.2078640460968018
42,2023-01-01 19:59:00,GBN-F,1610.0,2.798907646474677,1.6623581909820897,1568.0,81.0,42.0,0.35,1.3188513936862856,1.2061583399772644
42,2023-01-01 20:59:00,GBN-F,1627.0,2.7909632571996026,1.6517866002697508,1560.0,90.0,67.0,0.5583333333333333,1.2373308588736434,1.206766128540039
42,2023-01-01 21:59:00,GBN-F,1625.0,2.768619662363456,1.655866877355191,1554.0,92.0,71.0,0.5916666666666667,1.2923359954523346,1.200546145439148
42,2023-01-01 22:59:00,GBN-F,1566.0,2.6643495531281034,1.7009694498935017,1498.0,90.0,68.0,0.5666666666666667,1.2545718860567336,1.1990224719047546
42,2023-01-01 23:59:00,GBN-F,1554.0,2.5883813306852037,1.7007750034272715,1490.0,91.0,64.0,0.5333333333333333,1.2186411868262124,1.1935590505599976
42,2023-01-01 50:00:00,GBN-F,1545.6666666666667,2.6634392585236673,1.7174586121947446,1498.9583333333333,75.95833333333333,46.708333333333336,0.3892361111111111,1.6464115504979535,1.2022990137338638
42,2023-01-01 100:00:00,GBN-F,2014.0,63.924528301886795,37.83343340707226,2014.0,505.0,0.0,0.0,37.63729115806671,247.10879039764404
