Time(h),Mean_Dev_TimeSlots,Std_Dev_TimeSlots,Mean_Dev_Vehicles,Std_Dev_Vehicles
0,2.4066534260178747,1.793172370962091,458.59880834160873,1171.02097634046
1,2.423535253227408,1.7873166226306374,448.62164846077457,1183.6257296010629
2,2.357994041708044,1.802966535922576,431.35054617676263,1198.1877416364036
3,2.288977159880834,1.815717444320949,417.1132075471698,1221.7371096673667
4,2.224925521350546,1.8227172796251188,407.688679245283,1251.4065777917108
5,2.263654419066534,1.8322119818711617,417.90963257199604,1277.487392699832
6,2.455809334657398,1.796991725236451,486.73882820258194,1291.168613924891
7,2.7055610724925523,1.7200259974692969,593.0521350546177,1411.0907574928474
8,2.711519364448858,1.7345419925458876,617.330685203575,1489.618998454948
9,2.7234359483614696,1.7270201853408218,595.0347567030784,1392.1799034601552
10,2.76961271102284,1.689840590237552,623.0893743793446,1405.1127573720898
11,2.74875868917577,1.6953807059755372,595.9791459781529,1387.60029028638
12,2.711022840119166,1.7251304648142602,573.1559086395233,1359.6354970098564
13,2.743296921549156,1.69177643372536,567.5392254220457,1371.1210970447748
14,2.749751737835154,1.6993302722879562,582.4280039721947,1395.2450908302408
15,2.754220456802383,1.6863461152785286,605.1444885799405,1415.358707389343
16,2.7830188679245285,1.6802756732969726,621.2884806355512,1384.4556025701797
17,2.734359483614697,1.7148921760966398,620.9121151936445,1429.8431444734108
18,2.698609731876862,1.7219962704767617,583.995034756703,1383.1802994511042
19,2.743296921549156,1.6982210021710813,613.4409136047666,1489.4113618476106
20,2.7353525322740815,1.7008005153748476,590.6092353525323,1411.7355576526804
21,2.7130089374379343,1.7037430557800468,549.9761668321747,1323.505283622835
22,2.608738828202582,1.7445739680511703,511.96474677259187,1250.9641101225914
23,2.532770605759682,1.7411055197755765,463.3003972194638,1090.4009391836714
