Time(h),Mean_Dev_TimeSlots,Std_Dev_TimeSlots,Mean_Dev_Vehicles,Std_Dev_Vehicles
0,0.4147267705661866,1.018267809825382,58.11900769382521,603.6006946412801
1,0.48362596172815153,1.0869108579018534,60.732590254488066,723.2149943127797
2,0.44451568356677845,1.0461952820386944,49.342079305582956,487.42035589498494
3,0.43243243243243246,1.0266336944470988,46.16438153481949,392.8211516036096
4,0.41329650818701913,1.0013941569211993,46.946784375616495,468.52644216343833
5,0.4540836456894851,1.041699425715522,47.59666600907477,403.5745695637803
6,0.4684355888735451,1.0785119124053246,50.503057802327874,419.25877620493264
7,0.5061649240481357,1.1031847712864076,53.30178536200434,400.7626679687764
8,0.4798283685144999,1.0879808808323512,56.20783191951075,408.0830245088624
9,0.489100414282896,1.1042652826822061,68.96700532649437,542.1639679524217
10,0.45709212862497534,1.0888173796578584,74.13488853817321,664.0609928116478
11,0.40757545867034917,1.0263301328535992,60.72800355099625,614.2699686172342
12,0.36772538962319984,0.9744780103875168,52.0905997238114,526.1833966264963
13,0.3274807654369698,0.9255030601019985,49.38148550009864,511.1294664139967
14,0.24807654369698165,0.8064941270328374,37.82649437758927,482.7479882119326
15,0.17118761096863286,0.6632270965590695,21.427204576839614,355.30581449876144
16,0.13518445452752023,0.5756303812968615,13.661718287630697,244.60807330266897
17,0.11205365949891498,0.5121050983563817,11.949398303412902,198.49265376947025
18,0.10904517656342474,0.5187308819475522,10.782008285657922,173.1392792681069
19,0.09405208127835865,0.48440070831118487,8.074521601893865,129.3877715360104
20,0.09306569343065693,0.466123281141748,7.859735648056816,138.4469114919016
21,0.12783586506214242,0.5373525406080766,8.568258039060959,133.41875298547262
22,0.19579798776879068,0.6881848886330499,15.694712961136318,176.0448533927018
23,0.32422568553955416,0.8804708166147178,35.56352337739199,297.3431899955133
