Time(h),Mean_Dev_TimeSlots,Std_Dev_TimeSlots,Mean_Dev_Vehicles,Std_Dev_Vehicles
0,2.182516339869281,1.7922823496801052,150.90163398692812,431.7402175933187
1,2.1544117647058822,1.796741826175077,147.62908496732027,431.35733939751606
2,2.092156862745098,1.7984208545736233,141.94428104575164,430.90763647961023
3,1.9926470588235294,1.7971777583312034,137.2640522875817,448.84843273705104
4,1.9344771241830065,1.802536580847582,134.162091503268,474.4250037507097
5,1.9833333333333334,1.8104769530114493,137.52271241830064,488.4992729577235
6,2.2937908496732025,1.801949019806507,160.1766339869281,472.5384474551362
7,2.564869281045752,1.7559537794950675,195.16535947712418,482.9650210368575
8,2.594281045751634,1.7551790700871832,203.1575163398693,492.80648672530407
9,2.612908496732026,1.7373247891513266,195.83022875816994,468.1448603050267
10,2.657843137254902,1.7150584285389745,205.08464052287582,481.22223715118605
11,2.611437908496732,1.7291238169226693,196.14183006535947,485.8133794865618
12,2.598529411764706,1.733210156101498,188.64035947712418,473.67008688986255
13,2.6070261437908497,1.7235346089754362,186.77173202614378,472.2829366387668
14,2.6305555555555555,1.7187777858056406,191.6857843137255,468.7735891691099
15,2.617156862745098,1.727138180822692,199.16764705882352,471.98183643081796
16,2.6374183006535947,1.722232136184584,204.49150326797385,469.05720479032624
17,2.6151960784313726,1.7380209410759722,204.36846405228758,476.3015203144433
18,2.561111111111111,1.756181633211893,192.1955882352941,459.94219032894625
19,2.588235294117647,1.7411941352221765,201.86846405228758,496.2206450897898
20,2.578104575163399,1.742146993203151,194.36617647058824,469.6042462588417
21,2.527941176470588,1.7288035673024194,180.98349673202614,445.5009828362158
22,2.4248366013071894,1.764270704028074,168.47532679738563,425.59661857699746
23,2.3073529411764704,1.764152350551222,152.4580065359477,385.3777684043799
