seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,GBN-C,1443.0,1.3242303872889771,0.8866430103236915,1416.0,28.0,27.0,0.9,0.30929478706587094,0.2720547914505005
42,2023-01-01 01:59:00,GBN-C,1429.0,1.3257199602780536,0.9002724143769935,1410.0,30.0,19.0,0.6333333333333333,0.9363047936792093,0.2675740718841553
42,2023-01-01 02:59:00,GBN-C,1409.0,1.2989076464746772,0.9018511242213468,1386.0,30.0,23.0,0.7666666666666667,0.6497862896539309,0.2638509273529053
42,2023-01-01 03:59:00,GBN-C,1383.0,1.2581926514399207,0.904512526311186,1357.0,30.0,26.0,0.8666666666666667,0.33993463423951903,0.26213228702545166
42,2023-01-01 04:59:00,GBN-C,1336.0,1.2234359483614696,0.9223727614372509,1316.0,27.0,20.0,0.6666666666666666,0.738886568268889,0.25713610649108887
42,2023-01-01 05:59:00,GBN-C,1346.0,1.2383316782522344,0.9256364177013772,1333.0,28.0,13.0,0.43333333333333335,0.9056230237932833,0.263938307762146
42,2023-01-01 06:59:00,GBN-C,1449.0,1.3192651439920555,0.8895600243648085,1432.0,30.0,17.0,0.5666666666666667,0.9910712498212336,0.27578699588775635
42,2023-01-01 07:59:00,GBN-C,1549.0,1.4548162859980138,0.8471543235312946,1538.0,18.0,11.0,0.36666666666666664,0.8748897637790901,0.2922978401184082
42,2023-01-01 08:59:00,GBN-C,1548.0,1.4528301886792452,0.8458728790249599,1527.0,27.0,21.0,0.7,0.7874182083507147,0.2922321557998657
42,2023-01-01 09:59:00,GBN-C,1542.0,1.458291956305859,0.8566570104365778,1533.0,28.0,9.0,0.3,0.8541614816500999,0.28899168968200684
42,2023-01-01 10:59:00,GBN-C,1591.0,1.487090367428004,0.820287797230077,1571.0,28.0,20.0,0.6666666666666666,0.6776309271789385,0.2962491512298584
42,2023-01-01 11:59:00,GBN-C,1589.0,1.4826216484607746,0.8202052924698152,1569.0,29.0,20.0,0.6666666666666666,0.5517241379310346,0.2912038564682007
42,2023-01-01 12:59:00,GBN-C,1561.0,1.4548162859980138,0.8359440910428539,1536.0,25.0,25.0,0.8333333333333334,0.4898979485566356,0.286693811416626
42,2023-01-01 13:59:00,GBN-C,1607.0,1.4746772591857,0.8084117534815202,1583.0,28.0,24.0,0.8,0.410325903324145,0.28531575202941895
42,2023-01-01 14:59:00,GBN-C,1587.0,1.4756703078450844,0.8212386329783394,1562.0,29.0,25.0,0.8333333333333334,0.48275862068965514,0.28856348991394043
42,2023-01-01 15:59:00,GBN-C,1587.0,1.4846077457795432,0.8232660874253539,1571.0,26.0,16.0,0.5333333333333333,0.7307692307692307,0.2938699722290039
42,2023-01-01 16:59:00,GBN-C,1601.0,1.5,0.8137046108044912,1582.0,28.0,19.0,0.6333333333333333,0.6257648381405441,0.29749536514282227
42,2023-01-01 17:59:00,GBN-C,1568.0,1.4637537239324727,0.8357854091645348,1548.0,29.0,20.0,0.6666666666666666,0.8516613127743771,0.29493248462677
42,2023-01-01 18:59:00,GBN-C,1554.0,1.4558093346573981,0.843682943426647,1535.0,30.0,19.0,0.6333333333333333,0.8406346808612327,0.28925013542175293
42,2023-01-01 19:59:00,GBN-C,1575.0,1.4801390268123138,0.8416614654239488,1568.0,30.0,7.0,0.23333333333333334,0.8459051693633013,0.29432976245880127
42,2023-01-01 20:59:00,GBN-C,1564.0,1.4771598808341608,0.8538857250470415,1560.0,21.0,4.0,0.13333333333333333,0.9988655696858586,0.290191650390625
42,2023-01-01 21:59:00,GBN-C,1568.0,1.4692154915590865,0.8377842817332494,1554.0,30.0,14.0,0.4666666666666667,0.8844332774281065,0.28318846225738525
42,2023-01-01 22:59:00,GBN-C,1517.0,1.4111221449851044,0.8605876793789664,1498.0,30.0,19.0,0.6333333333333333,0.76303487615064,0.2775033712387085
42,2023-01-01 23:59:00,GBN-C,1518.0,1.3823237338629593,0.8536418636891363,1490.0,29.0,28.0,0.9333333333333333,0.2533954906327425,0.26946938037872314
42,2023-01-01 50:00:00,GBN-C,1517.5416666666667,1.4105428666004631,0.8562758385427277,1498.9583333333333,27.833333333333332,18.583333333333332,0.6194444444444444,0.6997571993245119,0.2822604924440384
42,2023-01-01 100:00:00,GBN-C,2014.0,33.853525322740815,18.136876001326467,2014.0,377.0,0.0,0.0,18.29225797817304,133.92162990570068
