seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,AGD-C,4183,1.2705863245086892,0.9691692997703916,4091,232,92,0.19166666666666668,1.2192410555285307,0.27616798877716064
42,2023-01-01 01:59:00,AGD-C,4099,1.2541822316063018,0.9844663932856591,4020,219,79,0.16458333333333333,1.1839611197990083,0.2723658084869385
42,2023-01-01 02:59:00,AGD-C,4023,1.2246223810297223,0.9881831653770273,3938,219,85,0.17708333333333334,1.1929611538124516,0.2715883255004883
42,2023-01-01 03:59:00,AGD-C,3916,1.178171187266526,0.9874596356344127,3826,219,90,0.1875,1.1753889429631577,0.2699730396270752
