seed,Time(h),model,Coverage,Mean,Std_Dev,CSV_Coverage,DSV_Coverage,New_locs,Cov_Efficiency,CovDev_Vehicle_Path,Mean_Runtime
42,2023-01-01 00:59:00,fuse,1453.0,0.7328699106256207,0.46755932660043753,1416.0,58.0,37.0,0.6166666666666667,0.4891814123831416,7.606242418289185
42,2023-01-01 01:59:00,fuse,1452.0,0.7298907646474677,0.4658446195004176,1410.0,54.0,42.0,0.7,0.5443310539518174,6.996100187301636
42,2023-01-01 02:59:00,fuse,1425.0,0.717974180734856,0.4746866078780899,1386.0,53.0,39.0,0.65,0.5609837263139059,6.594139575958252
42,2023-01-01 03:59:00,fuse,1407.0,0.7035749751737835,0.46742669593941305,1357.0,57.0,50.0,0.8333333333333334,0.3803418138364702,6.7259368896484375
42,2023-01-01 04:59:00,fuse,1352.0,0.6832174776564052,0.49117977601468116,1316.0,56.0,36.0,0.6,0.5297284633639759,6.070604562759399
42,2023-01-01 05:59:00,fuse,1388.0,0.6916583912611718,0.4671534055918903,1333.0,57.0,55.0,0.9166666666666666,0.28288623678240526,7.027984857559204
42,2023-01-01 06:59:00,fuse,1485.0,0.7408142999006951,0.4460491156577135,1432.0,56.0,53.0,0.8833333333333333,0.33071891388307384,6.67028021812439
42,2023-01-01 07:59:00,fuse,1591.0,0.7934458788480635,0.41332899342143636,1538.0,56.0,53.0,0.8833333333333333,0.33071891388307384,7.087440490722656
42,2023-01-01 08:59:00,fuse,1581.0,0.7879841112214498,0.4159608679194444,1527.0,57.0,54.0,0.9,0.3068922049918579,6.981907367706299
42,2023-01-01 09:59:00,fuse,1588.0,0.7909632571996028,0.4126810224092202,1533.0,57.0,55.0,0.9166666666666666,0.28288623678240526,6.241036415100098
42,2023-01-01 10:59:00,fuse,1627.0,0.8098311817279047,0.3974629963488769,1571.0,58.0,56.0,0.9333333333333333,0.2533954906327425,7.062016725540161
42,2023-01-01 11:59:00,fuse,1616.0,0.8088381330685204,0.4105139325213351,1569.0,58.0,47.0,0.7833333333333333,0.45648973430599055,6.5825371742248535
42,2023-01-01 12:59:00,fuse,1580.0,0.7924528301886793,0.4258558081371731,1536.0,57.0,44.0,0.7333333333333333,0.4868223482635652,7.195200443267822
42,2023-01-01 13:59:00,fuse,1619.0,0.8157894736842105,0.42081982143623614,1583.0,57.0,36.0,0.6,0.5907880084379907,6.278620958328247
42,2023-01-01 14:59:00,fuse,1596.0,0.8053624627606752,0.4307576783516229,1562.0,50.0,34.0,0.5666666666666667,0.6079473661428265,6.8552656173706055
42,2023-01-01 15:59:00,fuse,1607.0,0.8098311817279047,0.42288397381988585,1571.0,51.0,36.0,0.6,0.5369828995148688,6.983018159866333
42,2023-01-01 16:59:00,fuse,1619.0,0.8152929493545183,0.4164498472243305,1582.0,58.0,37.0,0.6166666666666667,0.4891814123831416,6.602077960968018
42,2023-01-01 17:59:00,fuse,1586.0,0.7984111221449851,0.42870843395717084,1548.0,56.0,38.0,0.6333333333333333,0.5236742249505422,7.090382099151611
42,2023-01-01 18:59:00,fuse,1564.0,0.7919563058589871,0.443327274786327,1535.0,57.0,29.0,0.48333333333333334,0.5321316101088808,6.956014394760132
42,2023-01-01 19:59:00,fuse,1616.0,0.8083416087388282,0.41088700825376767,1568.0,53.0,48.0,0.8,0.500622609864966,7.006028652191162
42,2023-01-01 20:59:00,fuse,1594.0,0.8043694141012909,0.427993603811586,1560.0,57.0,34.0,0.5666666666666667,0.49807261637117156,6.606088638305664
42,2023-01-01 21:59:00,fuse,1584.0,0.8013902681231381,0.43468996544916044,1554.0,58.0,30.0,0.5,0.49970264642032547,6.945025444030762
42,2023-01-01 22:59:00,fuse,1540.0,0.7735849056603774,0.4393474425369061,1498.0,59.0,42.0,0.7,0.4604433121086822,6.5753560066223145
42,2023-01-01 23:59:00,fuse,1531.0,0.7696127110228401,0.44291862749631156,1490.0,51.0,41.0,0.6833333333333333,0.48348345121325315,6.549038648605347
42,2023-01-01 50:00:00,fuse,1541.7083333333333,0.7740607414763324,0.43643695187764303,1498.9583333333333,55.875,42.75,0.7125,0.45660027945379483,6.803680996100108
42,2023-01-01 100:00:00,fuse,2014.0,18.57845084409136,7.839473893497508,2014.0,676.0,0.0,0.0,9.34833190416491,281.9197108745575
